"","Aquatic_Transect_width","Bend","Aquatic_LWFreq","Aquatic_InSitFreq","Aquatic_LJFreq","Aquatic_LWDens","Aquatic_LWvolpL","Aquatic_LWvolpa","Aquatic_JvolpL","log10Aquatic_JvolpL_nz"
"Aquatic_Transect_width",1,-0.287218970020351,-0.108627256502178,-0.435023074326246,0.142411488378197,-0.494303776774445,0.268572024171669,-0.0182685709492258,0.455424939212299,0.429883667904652
"Bend",-0.287218970020351,1,0.552216605976496,0.216918658099623,-0.0519590186720576,0.654425099931522,0.556017785719115,0.649321103339554,-0.0403307704507162,-0.106961949550501
"Aquatic_LWFreq",-0.108627256502178,0.552216605976496,1,0.386418766802705,0.578266961277818,0.876439955791143,0.481441060596129,0.593455502996771,0.328620554441511,0.30921374729763
"Aquatic_InSitFreq",-0.435023074326246,0.216918658099623,0.386418766802705,1,0.0288563166722083,0.599975665756885,-0.00511900032332567,0.218213134068623,-0.213183002520832,-0.156339638800192
"Aquatic_LJFreq",0.142411488378197,-0.0519590186720576,0.578266961277818,0.0288563166722083,1,0.422922208461536,0.140515075593328,0.160901549810452,0.530980703258086,0.705097575132527
"Aquatic_LWDens",-0.494303776774445,0.654425099931522,0.876439955791143,0.599975665756885,0.422922208461536,1,0.265136225913518,0.508117084029628,0.00775413090469934,0.0473004169029631
"Aquatic_LWvolpL",0.268572024171669,0.556017785719115,0.481441060596129,-0.00511900032332567,0.140515075593328,0.265136225913518,1,0.935839274594203,0.208479215367173,0.0624939822200308
"Aquatic_LWvolpa",-0.0182685709492258,0.649321103339554,0.593455502996771,0.218213134068623,0.160901549810452,0.508117084029628,0.935839274594203,1,0.0277755802204578,-0.065153002899514
"Aquatic_JvolpL",0.455424939212299,-0.0403307704507162,0.328620554441511,-0.213183002520832,0.530980703258086,0.00775413090469934,0.208479215367173,0.0277755802204578,1,0.871344666157555
"log10Aquatic_JvolpL_nz",0.429883667904652,-0.106961949550501,0.30921374729763,-0.156339638800192,0.705097575132527,0.0473004169029631,0.0624939822200308,-0.065153002899514,0.871344666157555,1
