"","sqrtTerrestrial_Total_Snag_Density_nz","Terrestrial_Elm_Snag_Density_bi","log10Terrestrial_Total_CWD_Density_nz","Terrestrial_Ash_CWD_Density_bi","Terrestrial_Elm_CWD_Density_bi","Terrestrial_2_CWD_Density_bi","log10Terrestrial_3_CWD_Density_nz","D.Dim.1","D.Dim.2","D.Dim.3","D.Dim.4","D.Dim.5"
"sqrtTerrestrial_Total_Snag_Density_nz",1,0.276903071817888,0.560209691487211,0.604078302470235,-0.135825516920684,0.36942112211577,0.29832409712526,0.74648346794482,0.161343496520773,-0.478622281418395,-0.0774172418577176,0.368678772193933
"Terrestrial_Elm_Snag_Density_bi",0.276903071817888,1,-0.274967095101352,0.623458720728898,0.538757504247594,0.640917457356063,-0.0788078045801687,0.210443275538233,0.858021671585516,0.0439409601370814,-0.471835832622377,-0.056056366173644
"log10Terrestrial_Total_CWD_Density_nz",0.560209691487211,-0.274967095101352,1,0.528411677540384,-0.357114279668513,0.0606468577253889,0.856976070133433,0.872302542365019,-0.358413309981333,0.0371877686204451,0.238124879045542,0.00705533787504048
"Terrestrial_Ash_CWD_Density_bi",0.604078302470235,0.623458720728898,0.528411677540384,1,-0.0116663152521532,0.474741045605722,0.62615668181023,0.857078215612133,0.3373109785727,0.0247728018031796,-0.3790608929939,-0.232934016781265
"Terrestrial_Elm_CWD_Density_bi",-0.135825516920684,0.538757504247594,-0.357114279668513,-0.0116663152521532,1,0.605624152762447,-0.155774885118664,-0.162593780200918,0.79647455149047,0.471509165858433,0.258671183738859,0.276974632518883
"Terrestrial_2_CWD_Density_bi",0.36942112211577,0.640917457356063,0.0606468577253889,0.474741045605722,0.605624152762447,1,-0.00547562383356705,0.369754259237364,0.860324405817518,-0.140793718670839,0.333268471190809,-0.173484893039837
"log10Terrestrial_3_CWD_Density_nz",0.29832409712526,-0.0788078045801687,0.856976070133433,0.62615668181023,-0.155774885118664,-0.00547562383356705,1,0.809058926369198,-0.269918525450214,0.471048917139027,0.00600776003722201,-0.0639007696321708
"D.Dim.1",0.74648346794482,0.210443275538233,0.872302542365019,0.857078215612133,-0.162593780200918,0.369754259237364,0.809058926369198,1,0.037639441772663,-0.025768287862037,-0.0166173691644972,-0.0471439618808551
"D.Dim.2",0.161343496520773,0.858021671585516,-0.358413309981333,0.3373109785727,0.79647455149047,0.860324405817518,-0.269918525450214,0.037639441772663,1,0.0134730243503528,0.0119971759413716,-0.0167800903960334
"D.Dim.3",-0.478622281418395,0.0439409601370814,0.0371877686204451,0.0247728018031796,0.471509165858433,-0.140793718670839,0.471048917139027,-0.025768287862037,0.0134730243503528,1,-0.0158905112278098,0.0950274750313246
"D.Dim.4",-0.0774172418577176,-0.471835832622377,0.238124879045542,-0.3790608929939,0.258671183738859,0.333268471190809,0.00600776003722201,-0.0166173691644972,0.0119971759413716,-0.0158905112278098,1,0.0166328141875258
"D.Dim.5",0.368678772193933,-0.056056366173644,0.00705533787504048,-0.232934016781265,0.276974632518883,-0.173484893039837,-0.0639007696321708,-0.0471439618808551,-0.0167800903960334,0.0950274750313246,0.0166328141875258,1
